"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"2447","BUFF",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2448","Calidris sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2449","CANG",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2450","CATE",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2451","CO sp.",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2452","COEI",2021-10-10,"","","","","",97,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2453","COGO",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2454","COLO",2021-10-10,"","","","","",2,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2455","COMU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2456","COTE",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2457","DCCO",2021-10-10,"","","","","",13,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2458","Duck sp.",2021-10-10,"","","","","",3,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2459","GBHE",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2460","GRCO",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2461","Great Shearwater",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2462","GREG",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2463","GRSC",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2464","GWTE",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
"2465","HADU",2021-10-10,"","","","","",0,90,"6:30 - 8:00","","","RZK","SE 8-9","","","unlimited"
