Date,,09-01-20,09-02-20,09-04-20,09-05-20,09-06-20,09-10-20,09-11-20,09-12-20,09-11-20,09-13-20,09-14-20,09-15-20,09-16-20,09-17-20,09-18-20,09-19-20,09-20-20,09-21-20,09-22-20,09-23-20,09-24-20,09-25-20,09-26-20,09-27-20,09-28-20,09-30-20,10-01-20,10-02-20,10-03-20,10-04-20,10-05-20,10-06-20,10-07-20,10-08-20,10-09-20,10-10-20,10-11-20,10-12-20,10-13-20,10-14-20,10-15-20,10-16-20,10-17-20,10-18-20,10-19-20,10-20-20,10-21-20,10-22-20,10-23-20,10-24-20,10-25-20,10-26-20,10-27-20,10-28-20,10-29-20,10-30-20,10-31-20,11-01-20,11-02-20,11-03-20,11-04-20,11-05-20,11-06-20,11-07-20,11-08-20,11-09-20,11-10-20,11-11-20,11-12-20,11-13-20,11-14-20,11-15-20,11-16-20,11-17-20,11-18-20,11-19-20,11-20-20,11-21-20
BLGU,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,2,,,,,,1,,,,,7,,,3,,,7,2,,1,3,,4,,2,1,,,4,8,1,1,2,
COMU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNBI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLSK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNPH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shearwater sp.,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,53116,194,119,0,,,,697,449,0,121,379,359,71,260,323,235,283,291,208,,82,299,3,0,0,,307,74,665,776,246,877,491,23,1374,2843,1272,1014,1879,298,188,281,156,1862,1555,978,4228,5587,3495,382,824,1241,1985,1390,1797,628,603,435,706,273,1060,175,494,496,648,0,765,201,267,431,397,420,681,589,382,131,873,0
Total check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitors,1054,1,0,0,,,,1,,,,,1,1,0,1,0,0,0,0,3,0,0,0,,0,,8,,11,22,84,40,82,,,222,,,,,,,,9,,,,3,,,,,,,2,33,59,6,22,10,11,1,53,86,35,,63,,,5,59,37,29,23,10,0,21,
Birds/hour,,73.07,59.5,0,,,,205,128.8995215,#DIV/0!,35.41463415,122.9189189,88.64197531,22.90322581,83.42245989,112.6744186,78.33333333,94.33333333,97,69.33333333,,27.33333333,99.66666667,1.090909091,,0,,102.3333333,52.85714286,132.1192053,195.6302521,49.2,175.4,98.2,46,274.8,568.6,254.4,202.8,375.8,59.6,62.66666667,56.2,78,372.4,311,195.6,1268.4,1596.285714,699,191,164.8,265.9285714,397,278,599,125.6,120.6,145,141.2,136.5,212,43.75,98.8,99.2,162,0,153,67,76.28571429,95.77777778,79.4,84,136.2,117.8,76.4,43.66666667,174.6,#DIV/0!
