"","species","date","hour.1.total","hour.2.total","hour.3.total","hour.4.total","hour.5.total","day.total","total.obs.mins","time.of.obs","start.time.am","start.time.pm","principle.observer","wind.dir.speed","wind.dir","wind.speed","visibility"
"80","HADU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"81","HOGR",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"82","Jaeger sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"83","LAGU",2021-08-24,"","","","","",2,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"84","LO sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"85","LTDU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"86","Large alcid sp.",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"87","MALL",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"88","MALL/ABDU",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"89","NOGA",2021-08-24,"","","","","",17,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"90","NOPI",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"91","PAJA",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
"92","POJA",2021-08-24,"","","","","",0,183,"7:53-8:55  13:38-15:39","","","ACK","SW 6 mph","","","2 to 10 mi"
