"species","date","year","time.of.obs","total.obs.mins","obs.hours","day.total","count.p.hour","wind.dir.speed","visibility","principle.observer"
"Scoter sp.",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"UNID",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"WHIM",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"WWSC",2014-08-25,"2014","6:30-8:30",120,2,1,0.5,"Calm 1-3",NA,"KO"
"YBCH",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"YRWA",2014-08-25,"2014","6:30-8:30",120,2,0,0,"Calm 1-3",NA,"KO"
"ABDU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"AMCR",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"ATSP",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BAEA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BAOR",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BLGU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BLKI",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BLSC",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BOGU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BOWA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"BUFF",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"CATE",2014-09-04,"2014","6:40-8:40",120,2,2,1,"N 1-3",NA,"KO"
"COEI",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"COGO",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"COGR",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"COLO",2014-09-04,"2014","6:40-8:40",120,2,4,2,"N 1-3",NA,"KO"
"Calidris sp.",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"DCCO",2014-09-04,"2014","6:40-8:40",120,2,69,34.5,"N 1-3",NA,"KO"
"GBHE",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"GRCO",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"HADU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"LAGU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"LESC",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"LTDU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"MERL",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"NOGA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"NOPI",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"PAJA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"PEFA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"PISI",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"RBGU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"RBME",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"RNGR",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"RTLO",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"RUTU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"SNBU",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"SSHA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"SUSC",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"SWSP",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"Scoter sp.",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"UNID",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"WHIM",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"WWSC",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"YBCH",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"YRWA",2014-09-04,"2014","6:40-8:40",120,2,0,0,"N 1-3",NA,"KO"
"ABDU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"AMCR",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"ATSP",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BAEA",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BAOR",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BLGU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BLKI",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BLSC",2014-09-08,"2014","6:30-8:30",120,2,6,3,"No Wind",NA,"KO"
"BOGU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BOWA",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"BUFF",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"CATE",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"COEI",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"COGO",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"COGR",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"COLO",2014-09-08,"2014","6:30-8:30",120,2,8,4,"No Wind",NA,"KO"
"Calidris sp.",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"DCCO",2014-09-08,"2014","6:30-8:30",120,2,113,56.5,"No Wind",NA,"KO"
"GBHE",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"GRCO",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"HADU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"LAGU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"LESC",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"LTDU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"MERL",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"NOGA",2014-09-08,"2014","6:30-8:30",120,2,4,2,"No Wind",NA,"KO"
"NOPI",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"PAJA",2014-09-08,"2014","6:30-8:30",120,2,1,0.5,"No Wind",NA,"KO"
"PEFA",2014-09-08,"2014","6:30-8:30",120,2,1,0.5,"No Wind",NA,"KO"
"PISI",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"RBGU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"RBME",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"RNGR",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"RTLO",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
"RUTU",2014-09-08,"2014","6:30-8:30",120,2,0,0,"No Wind",NA,"KO"
